Date,Close
2015-01-02,9643.1904296875
2015-01-06,9651.7802734375
2015-01-07,9750.2998046875
2015-01-08,9803.8701171875
2015-01-09,9993.1904296875
2015-01-12,10026.7900390625
2015-01-13,10221.9404296875
2015-01-14,10262.6796875
2015-01-15,10266.9501953125
2015-01-16,10334.7197265625
2015-01-19,10353.1796875
2015-01-20,10358.2197265625
2015-01-21,10320.169921875
2015-01-22,10233.83984375
2015-01-23,10178.7001953125
2015-01-26,10131.7099609375
2015-01-27,10093.6396484375
2015-01-28,10153.16015625
2015-01-29,10130.58984375
2015-01-30,10222.5595703125
2015-02-02,10212.51953125
2015-02-03,10173.6904296875
2015-02-04,10251.669921875
2015-02-05,10259.16015625
2015-02-06,10353.169921875
2015-02-09,10294.48046875
2015-02-10,10315.2998046875
2015-02-11,10322.4296875
2015-02-12,10268.669921875
2015-02-13,10257.8203125
2015-02-16,10261.4404296875
2015-02-17,10244.2001953125
2015-02-18,10220.23046875
2015-02-19,10380.25
2015-02-20,10404.3095703125
2015-02-23,10401.4697265625
2015-02-24,10405.4697265625
2015-02-25,10481.9501953125
2015-02-26,10462.0400390625
2015-02-27,10460.6201171875
2015-03-02,10469.41015625
2015-03-03,10456.5498046875
2015-03-04,10476.01953125
2015-03-05,10481.349609375
2015-03-06,10456.4697265625
2015-03-09,10527.26953125
2015-03-10,10513.7802734375
2015-03-11,10489.509765625
2015-03-12,10480.58984375
2015-03-13,10476.8896484375
2015-03-16,10424.08984375
2015-03-17,10426.400390625
2015-03-18,10340.2802734375
2015-03-19,10308.0400390625
2015-03-20,10411.349609375
2015-03-23,10408.849609375
2015-03-24,10410.2998046875
2015-03-25,10393.740234375
2015-03-26,10295.2998046875
2015-03-27,10292.4296875
2015-03-30,10322.08984375
2015-03-31,10269.75
2015-04-01,10182.0595703125
2015-04-02,10071.51953125
2015-04-03,9958.6904296875
2015-04-06,10050.7900390625
2015-04-07,9983.7998046875
2015-04-08,9943.1201171875
2015-04-09,9981.66015625
2015-04-10,9889.1201171875
2015-04-13,9909.7900390625
2015-04-14,9914.8095703125
2015-04-15,9937.0302734375
2015-04-16,9912.3095703125
2015-04-17,9898.900390625
2015-04-20,9915.5302734375
2015-04-21,9900.1201171875
2015-04-22,9905.41015625
2015-04-23,9914.8603515625
2015-04-24,9876.5703125
2015-04-27,9941.580078125
2015-04-28,9920.5
2015-04-29,9972.58984375
2015-04-30,9937.3798828125
2015-05-04,9958.0
2015-05-05,9945.3095703125
2015-05-06,9908.900390625
2015-05-07,9858.7802734375
2015-05-08,9880.330078125
2015-05-11,9885.16015625
2015-05-12,9888.330078125
2015-05-13,9846.23046875
2015-05-14,9845.669921875
2015-05-15,9851.73046875
2015-05-18,9878.58984375
2015-05-19,9920.900390625
2015-05-20,9875.9404296875
2015-05-21,9787.849609375
2015-05-22,9667.419921875
2015-05-25,9673.0703125
2015-05-26,9630.4404296875
2015-05-27,9588.1298828125
2015-05-28,9608.6298828125
2015-05-29,9711.3603515625
2015-06-01,9687.6298828125
2015-06-02,9674.3701171875
2015-06-03,9701.76953125
2015-06-04,9733.4599609375
2015-06-05,9736.5498046875
2015-06-08,9723.73046875
2015-06-09,9595.919921875
2015-06-10,9593.0
2015-06-11,9603.0302734375
2015-06-12,9647.75
2015-06-15,9614.599609375
2015-06-16,9543.6298828125
2015-06-17,9501.7197265625
2015-06-18,9532.740234375
2015-06-19,9581.3603515625
2015-06-22,9548.7802734375
2015-06-23,9592.2900390625
2015-06-24,9582.6103515625
2015-06-25,9588.990234375
2015-06-26,9575.3095703125
